name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Demo1/4194301/64_mean",35,1.92234e+07,1.91968e+07,ns,,,,,
"BM_Demo1/4194301/64_stddev",0,397647,391143,ns,,,,,
"BM_Demo1/4194301/128_mean",24,2.77232e+07,2.77187e+07,ns,,,,,
"BM_Demo1/4194301/128_stddev",0,343029,343425,ns,,,,,
"BM_Demo1/4194301/256_mean",16,4.32539e+07,4.32473e+07,ns,,,,,
"BM_Demo1/4194301/256_stddev",0,888516,890154,ns,,,,,
"BM_Demo1/4194301/512_mean",10,7.49027e+07,7.48865e+07,ns,,,,,
"BM_Demo1/4194301/512_stddev",0,1.19769e+06,1.19643e+06,ns,,,,,
"BM_Demo1/4194301/1024_mean",5,1.41413e+08,1.41392e+08,ns,,,,,
"BM_Demo1/4194301/1024_stddev",0,3.64095e+06,3.64162e+06,ns,,,,,
"BM_Demo1/4194301/2048_mean",3,2.69301e+08,2.69261e+08,ns,,,,,
"BM_Demo1/4194301/2048_stddev",0,3.03961e+06,3.02719e+06,ns,,,,,
"BM_Demo1/4194301/4096_mean",1,5.21376e+08,5.21286e+08,ns,,,,,
"BM_Demo1/4194301/4096_stddev",0,5.65314e+06,5.66619e+06,ns,,,,,
"BM_Demo1/8191/50_mean",93,7.79285e+06,7.79176e+06,ns,,,,,
"BM_Demo1/8191/50_stddev",0,174677,174651,ns,,,,,
"BM_Demo1/16381/50_mean",80,8.54239e+06,8.54095e+06,ns,,,,,
"BM_Demo1/16381/50_stddev",0,276829,276762,ns,,,,,
"BM_Demo1/32771/50_mean",72,9.18614e+06,9.18406e+06,ns,,,,,
"BM_Demo1/32771/50_stddev",0,69638.7,69727.4,ns,,,,,
"BM_Demo1/65537/50_mean",71,9.91284e+06,9.91122e+06,ns,,,,,
"BM_Demo1/65537/50_stddev",0,101781,101638,ns,,,,,
"BM_Demo1/131071/50_mean",64,1.07717e+07,1.07701e+07,ns,,,,,
"BM_Demo1/131071/50_stddev",0,124409,124431,ns,,,,,
"BM_Demo1/262147/50_mean",59,1.19866e+07,1.19844e+07,ns,,,,,
"BM_Demo1/262147/50_stddev",0,147250,146633,ns,,,,,
"BM_Demo1/524287/50_mean",53,1.37186e+07,1.37156e+07,ns,,,,,
"BM_Demo1/524287/50_stddev",0,83341,83163.1,ns,,,,,
"BM_Demo1/1048573/50_mean",46,1.54488e+07,1.54454e+07,ns,,,,,
"BM_Demo1/1048573/50_stddev",0,235685,235580,ns,,,,,
"BM_Demo1/2097143/50_mean",42,1.68467e+07,1.68431e+07,ns,,,,,
"BM_Demo1/2097143/50_stddev",0,139914,139849,ns,,,,,
"BM_Demo1/4194301/50_mean",39,1.80542e+07,1.80512e+07,ns,,,,,
"BM_Demo1/4194301/50_stddev",0,365724,366222,ns,,,,,
"BM_Demo1/8388617/50_mean",36,1.86758e+07,1.86732e+07,ns,,,,,
"BM_Demo1/8388617/50_stddev",0,360951,361188,ns,,,,,
"BM_Demo1/16777213/50_mean",35,2.00379e+07,2.00341e+07,ns,,,,,
"BM_Demo1/16777213/50_stddev",0,223830,223626,ns,,,,,
"BM_Demo1/33554467/50_mean",33,2.10784e+07,2.10762e+07,ns,,,,,
"BM_Demo1/33554467/50_stddev",0,370013,369847,ns,,,,,
"BM_Demo1/67108859/50_mean",32,2.20197e+07,2.20188e+07,ns,,,,,
"BM_Demo1/67108859/50_stddev",0,552238,551960,ns,,,,,
